"recherche_id";"fetch_id";"test_NCT";"date_check_nct";"lot"
"35073985";TRUE;TRUE;"2022-02-04 22:55:13";"LOT_20220204225447"
"35073975";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35073963";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35073865";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35073864";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35073853";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35073733";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35073571";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35072864";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35072694";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35072641";TRUE;TRUE;"2022-02-04 22:55:14";"LOT_20220204225447"
"35072168";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35072046";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35067230";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35066801";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35066693";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35065786";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35065785";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35065784";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35065705";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35065678";TRUE;TRUE;"2022-02-04 22:55:15";"LOT_20220204225447"
"35065662";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35065656";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35065599";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35065057";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35064249";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35064012";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35063042";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35063007";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
"35063002";TRUE;TRUE;"2022-02-04 22:55:16";"LOT_20220204225447"
